,Power [kW],Temperature [°C],Holiday,Hour,Day_of_the_week,Month,working_day,logtemp,Power-1
5174,134.6738757,17.625,0.0,5,1,10,1,2.8693183486983322,135.1378938
5175,152.2150994,16.471666666666668,0.0,6,1,10,1,2.8016417331600376,134.6738757
5176,181.4417514,17.155,0.0,7,1,10,1,2.842289676310413,152.2150994
5177,249.5061114,17.8725,0.0,8,1,10,1,2.8832632186588696,181.4417514
5178,316.4946694,18.8025,0.0,9,1,10,1,2.933989839718421,249.5061114
5179,351.898183,19.981666666666666,0.0,10,1,10,1,2.994815186491507,316.4946694
5180,358.1608576,22.125833333333333,0.0,11,1,10,1,3.0967458549681206,351.898183
5181,322.700833,24.202499999999997,0.0,12,1,10,1,3.1864559336120895,358.1608576
5182,350.9990302,25.635833333333334,0.0,13,1,10,1,3.243991112346597,322.700833
5183,372.8254621,24.734166666666667,0.0,14,1,10,1,3.20818555366001,350.9990302
5184,377.3136913,25.050833333333333,0.0,15,1,10,1,3.22090709377728,372.8254621
5185,366.6377169,25.55666666666667,0.0,16,1,10,1,3.2408982089026934,377.3136913
5186,325.1132248,24.374999999999996,0.0,17,1,10,1,3.1935580168839106,366.6377169
5187,246.7462816,23.304166666666664,0.0,18,1,10,1,3.1486321714795964,325.1132248
5188,198.0854967,22.67833333333333,0.0,19,1,10,1,3.121409989974712,246.7462816
5189,157.1143938,22.09833333333334,0.0,20,1,10,1,3.0955021908985727,198.0854967
5190,153.5617356,21.113333333333333,0.0,21,1,10,1,3.049904752442384,157.1143938
5191,149.5473616,20.358333333333334,0.0,22,1,10,1,3.0134903284756946,153.5617356
5192,137.6354707,20.250000000000004,0.0,23,1,10,1,3.0081547935525483,149.5473616
5193,132.4586445,14.059166666666668,0.0,6,2,10,1,2.6432746148298834,137.6354707
5194,171.1253544,14.097499999999998,0.0,7,2,10,1,2.6459974766992,132.4586445
5195,231.8480983,15.744166666666665,0.0,8,2,10,1,2.756469926297226,171.1253544
5196,289.3777614,17.174166666666665,0.0,9,2,10,1,2.843406316795417,231.8480983
5197,318.7128308,19.075,0.0,10,2,10,1,2.9483785771705207,289.3777614
5198,334.0984738,21.6425,0.0,11,2,10,1,3.0746589741077917,318.7128308
5199,318.8591315,24.44333333333333,0.0,12,2,10,1,3.1963575134375986,334.0984738
5200,325.7570316,25.658333333333335,0.0,13,2,10,1,3.2448684051424546,318.8591315
5201,361.6496793,26.58916666666666,0.0,14,2,10,1,3.2805038646610214,325.7570316
5202,362.3975082,27.486666666666668,0.0,15,2,10,1,3.3137010386106445,361.6496793
5203,338.8328398,27.62833333333333,0.0,16,2,10,1,3.3188418162087197,362.3975082
5204,305.9459494,27.44083333333333,0.0,17,2,10,1,3.3120321716871204,338.8328398
5205,231.0625954,27.226666666666674,0.0,18,2,10,1,3.3041968851883006,305.9459494
5206,174.9990788,26.2975,0.0,19,2,10,1,3.269473877631292,231.0625954
5207,144.1419798,25.359166666666656,0.0,20,2,10,1,3.233140268881905,174.9990788
5208,137.0268263,24.976153846153846,0.0,21,2,10,1,3.217921523513628,144.1419798
5209,134.6937592,23.9525,0.0,22,2,10,1,3.1760727025428914,137.0268263
5210,162.5392405,19.08153846153846,0.0,7,3,10,1,2.948721294925647,134.6937592
5211,272.5159255,19.1025,0.0,8,3,10,1,2.9498192165395847,162.5392405
5212,322.2870469,19.55666666666667,0.0,9,3,10,1,2.973316234269659,272.5159255
5213,362.5613901,20.657500000000002,0.0,10,3,10,1,3.0280784495932025,322.2870469
